order_id,order_date,customer_id,product_id,product_name,quantity,price,order_status
1001,4/13/2023,2008,3001,Product_3001,9,18.14,Completed
1002,12/15/2023,2088,3001,Product_3001,4,17.61,Completed
1003,9/28/2023,2063,3010,Product_3010,1,97.11,Completed
1004,4/17/2023,2011,3004,Product_3004,4,72.89,Completed
1005,3/13/2023,2081,3007,Product_3007,1,8.9,Pending
1006,7/8/2023,2008,3002,Product_3002,5,42.89,Pending
1007,1/21/2023,2035,3003,Product_3003,4,46.18,Completed
1008,4/13/2023,2035,3001,Product_3001,8,75.68,Pending
1009,5/2/2023,2033,3005,Product_3005,8,28.83,Completed
1010,8/3/2023,2005,3001,Product_3001,7,22.51,Completed
1011,11/27/2023,2041,3008,Product_3008,3,12.68,Completed
1012,3/29/2023,2028,3001,Product_3001,1,45.69,Completed
1013,4/10/2023,2007,3001,Product_3001,1,70.41,Completed
1014,12/26/2023,2073,3002,Product_3002,3,10.53,Completed
1015,6/1/2023,2072,3002,Product_3002,6,91.95,Completed
1016,5/11/2023,2012,3006,Product_3006,7,47.02,Completed
1017,5/30/2023,2034,3007,Product_3007,6,27.78,Pending
1018,11/5/2023,2033,3005,Product_3005,6,13.92,Cancelled
1019,9/15/2023,2048,3001,Product_3001,6,22.37,Completed
1020,12/10/2023,2023,3001,Product_3001,3,93.79,Pending
1021,10/21/2023,2062,3003,Product_3003,6,65.64,Pending
1022,7/11/2023,2088,3002,Product_3002,8,54.09,Pending
1023,10/4/2023,2037,3005,Product_3005,2,67.43,Completed
1024,6/10/2023,2099,3010,Product_3010,5,46.39,Cancelled
1025,11/10/2023,2044,3006,Product_3006,1,74.35,Completed
1026,1/22/2023,2086,3007,Product_3007,1,9.53,Cancelled
1027,9/10/2023,2091,3004,Product_3004,5,58.77,Pending
1028,8/24/2023,2035,3007,Product_3007,3,20.07,Completed
1029,12/11/2023,2065,3008,Product_3008,4,16.42,Pending
1030,2/18/2023,2099,3001,Product_3001,3,37.48,Pending
1031,2/28/2023,2047,3006,Product_3006,1,13.72,Pending
1032,6/19/2023,2078,3008,Product_3008,1,13.94,Completed
1033,7/7/2023,2003,3005,Product_3005,5,34.58,Completed
1034,9/28/2023,2001,3004,Product_3004,6,98.05,Completed
1035,7/9/2023,2005,3002,Product_3002,3,21.66,Pending
1036,6/24/2023,2090,3006,Product_3006,9,6.63,Completed
1037,2/20/2023,2014,3006,Product_3006,5,77.52,Completed
1038,12/30/2023,2027,3001,Product_3001,8,81.66,Completed
1039,2/24/2023,2009,3009,Product_3009,1,37.9,Completed
1040,9/1/2023,2079,3006,Product_3006,5,49.14,Pending
1041,11/16/2023,2015,3003,Product_3003,3,66.73,Pending
1042,5/11/2023,2090,3004,Product_3004,1,9.57,Completed
1043,11/3/2023,2042,3004,Product_3004,4,95.17,Pending
1044,5/15/2023,2077,3003,Product_3003,5,89.23,Completed
1045,1/21/2023,2051,3010,Product_3010,7,29.78,Completed
1046,11/25/2023,2063,3003,Product_3003,1,6.45,Cancelled
1047,6/16/2023,2096,3003,Product_3003,3,93.68,Completed
1048,10/1/2023,2052,3004,Product_3004,2,52.6,Completed
1049,3/30/2023,2096,3007,Product_3007,9,56.24,Cancelled
1050,11/12/2023,2004,3004,Product_3004,6,69.98,Completed
1051,1/14/2023,2094,3009,Product_3009,3,63.51,Completed
1052,8/30/2023,2023,3001,Product_3001,8,94.67,Completed
1053,9/22/2023,2015,3008,Product_3008,8,94.7,Completed
1054,12/12/2023,2043,3007,Product_3007,2,87.38,Completed
1055,2/22/2023,2029,3002,Product_3002,6,65.46,Completed
1056,12/6/2023,2036,3008,Product_3008,7,81.09,Cancelled
1057,4/2/2023,2013,3001,Product_3001,2,69.33,Cancelled
1058,9/21/2023,2032,3009,Product_3009,2,59.47,Pending
1059,2/4/2023,2071,3009,Product_3009,1,17.21,Cancelled
1060,7/25/2023,2059,3002,Product_3002,8,82.06,Completed
1061,3/22/2023,2086,3007,Product_3007,1,82.96,Completed
1062,2/19/2023,2028,3010,Product_3010,9,64.46,Completed
1063,12/26/2023,2066,3003,Product_3003,6,82.94,Completed
1064,1/2/2023,2042,3007,Product_3007,7,66.89,Completed
1065,2/23/2023,2045,3010,Product_3010,7,24.64,Completed
1066,4/16/2023,2062,3009,Product_3009,3,31.03,Completed
1067,9/17/2023,2057,3004,Product_3004,2,25.39,Pending
1068,11/6/2023,2006,3001,Product_3001,9,40.84,Pending
1069,7/10/2023,2028,3002,Product_3002,8,8.7,Completed
1070,8/6/2023,2028,3001,Product_3001,7,63.73,Completed
1071,2/13/2023,2044,3005,Product_3005,9,36.97,Completed
1072,6/11/2023,2084,3005,Product_3005,4,67.29,Pending
1073,7/21/2023,2030,3007,Product_3007,4,41.61,Pending
1074,9/27/2023,2062,3009,Product_3009,1,69.75,Completed
1075,12/17/2023,2075,3009,Product_3009,8,37.36,Completed
1076,10/31/2023,2092,3003,Product_3003,3,29.77,Completed
1077,9/28/2023,2089,3003,Product_3003,7,52.12,Completed
1078,8/3/2023,2062,3003,Product_3003,2,70.82,Completed
1079,9/9/2023,2097,3004,Product_3004,2,38.09,Completed
1080,7/9/2023,2001,3008,Product_3008,7,93.98,Pending
1081,10/23/2023,2027,3006,Product_3006,6,8.72,Completed
1082,8/1/2023,2062,3008,Product_3008,3,44.7,Completed
1083,7/27/2023,2077,3001,Product_3001,9,96.92,Cancelled
1084,8/25/2023,2003,3008,Product_3008,6,57.06,Pending
1085,12/4/2023,2070,3004,Product_3004,6,45.23,Pending
1086,2/22/2023,2072,3001,Product_3001,1,59.01,Completed
1087,10/7/2023,2027,3008,Product_3008,4,59.71,Completed
1088,8/5/2023,2009,3004,Product_3004,6,74.51,Completed
1089,9/9/2023,2062,3006,Product_3006,6,17.13,Completed
1090,7/7/2023,2037,3008,Product_3008,5,28.75,Completed
1091,2/10/2023,2097,3004,Product_3004,1,60.15,Completed
1092,6/6/2023,2051,3003,Product_3003,8,87.38,Completed
1093,1/15/2023,2044,3009,Product_3009,5,58.38,Completed
1094,10/28/2023,2024,3003,Product_3003,5,27.67,Completed
1095,3/6/2023,2079,3009,Product_3009,7,69.59,Completed
1096,12/11/2023,2059,3002,Product_3002,4,75.29,Completed
1097,11/23/2023,2032,3002,Product_3002,6,27.63,Completed
1098,1/9/2023,2096,3002,Product_3002,4,40.88,Completed
1099,12/10/2023,2088,3006,Product_3006,3,55.76,Completed
1100,5/9/2023,2052,3003,Product_3003,7,52.17,Completed
